  #        id       flux         zspecflag    redshift       detectprob  soft/hard_ratio  optical_id
         382   7.08999992E-15           1  0.740000010               1  0.403385043             382
         383   6.69000005E-15           1   1.44400001               1  0.481315404             383
         385   1.72000001E-14           1  0.349999994               1   9.01162773E-02         385
         387   6.30999989E-15           0  0.939999998               1  0.140095085             387
         390   9.32000008E-15           0   1.74000001               1  0.181330472             390
         391   1.25999996E-14           1   1.77999997               1  0.407936513             391
         393   1.15000003E-14           0   1.19000006               1   9.56521705E-02         393
         395   4.91000012E-15           0   2.98000002               1  0.411405265             395
         398   4.88999998E-15           1  0.745000005               1  0.625766873             398
         399   8.51000026E-15           1   1.18900001               1  0.438307822             399
         400   8.29999962E-15           0  0.800000012               1  0.348192781             400
         402   6.82000012E-15           0   1.08000004               1  0.325513214             402
         403   6.40000011E-15           0   2.50999999               1  0.404687494             403
         411   2.04000008E-14           1  0.952000022               1  0.231862739             411
         412   1.00999997E-14           0   1.29999995               1  0.204950511             412
         413   2.39000002E-14           1   1.02300000               1   0.00000000             413
         416   1.40000003E-14           1  0.992999971               1  0.172142848             416
         417   4.83000006E-14           1  0.340000004               1  0.339544505             417
         418   4.86999984E-15           0   2.01999998               1  0.355236143             418
         422   7.77000009E-15           0   1.89999998               1   0.00000000             422
         423   1.42999999E-14           0  0.769999981               1  0.118881121             423
         425   7.79000023E-15           0   2.64000010               1  0.326059043             425
         428   6.94000013E-15           0   2.00999999               1  0.427953869             428
         436   9.22000022E-15           1   1.81700003               1  0.669197381             436
         442   6.89999985E-15           1  0.921999991               1  0.188405797             442
         447   6.69000005E-15           1   3.52500010               1  0.198804185             447
         448   9.16999986E-15           0   1.85000002               1  0.280261725             448
         450   1.05999998E-14           0  0.140000001               1  0.229245290             450
         453   7.49999987E-15           0   2.82999992               1  0.708000004             453
         459   7.77000009E-15           0  0.829999983               1  0.409266382             459
         460   7.45000036E-15           1   1.20200002               1  0.186577171             460
         467   1.13999996E-14           0   1.00999999               1  0.469298244             467
         470   8.72000006E-15           0   2.06999993               1  0.104128443             470
         471   9.99999982E-15           0   1.57000005               1  0.419000030             471
         473   7.32000028E-15           0   1.88999999               1   0.00000000             473
         496   1.19999996E-14           1   1.22000003               1  0.694166660             496
         507   6.29999982E-15           1  0.879000008               1   0.00000000             507
         524   8.77000041E-15           1   1.14300001               1  0.535917878             524
         531   1.33000004E-14           1  0.824999988               1  0.181954890             531
         540   6.65999984E-15           0   1.07000005               1  0.255255252             540
         567   7.20000028E-15           1   1.94299996               1  0.488888860             567
         569   6.00999988E-15           1   1.52800000               1  0.297836930             569
        1151   1.46999993E-14           1   3.34500003               1  0.231972799            1151
        1429   8.62000019E-14           1  0.356000006               1  0.299303949            1429
        1461   1.22000002E-14           1   1.64999998               1  0.436885238            1461
        1533   5.56000008E-15           1  0.123000003               1  0.507194221            1533
        2013   5.19999998E-14           1   1.24600005               1  0.503846169            2013
        2016   8.22000007E-14           1  0.344999999               1  0.568126500            2016
        2020   2.96000000E-14           1   1.50600004               1  0.841216207            2020
        2021   1.78000003E-13           1  0.104000002               1   3.44382003E-02        2021
        2028   7.56999986E-14           1   1.59200001               1  0.442536354            2028
        2036   4.17000012E-14           1  0.971000016               1  0.544364512            2036
        2040   3.49000004E-14           1  0.521000028               1  0.636103153            2040
        2043   3.71999998E-14           1  0.667999983               1  0.259408593            2043
        2046   4.32000017E-14           1   1.79999995               1  0.546296299            2046
        2050   1.23999999E-13           1   1.03100002               1  0.355645180            2050
        2051   5.81000024E-14           1  0.667999983               1  0.734939754            2051
        2058   4.74999983E-14           1  0.967000008               1  0.625263214            2058
        2071   2.75000004E-14           1  0.875999987               1  0.483636379            2071
        2072   2.10000000E-14           1   1.59099996               1  0.475714266            2072
        2074   2.15000001E-14           0  0.589999974               1  0.534883738            2074
        2076   6.80000015E-14           1  0.735000014               1  0.335294098            2076
        2078   3.31000011E-14           1  0.981999993               1  0.580060422            2078
        2080   1.56999996E-14           1   1.31500006               1  0.796178341            2080
        2081   3.99999993E-14           1   1.56599998               1  0.545000017            2081
        2083   2.58999992E-14           1   1.25999999               1  0.613899589            2083
        2093   2.49000005E-14           1   2.50600004               1  0.530120432            2093
        2096   3.03999989E-14           1   2.32299995               1  0.516447365            2096
        2099   2.84999990E-14           1   1.16100001               1  0.561403513            2099
        2105   1.68000007E-14           1   1.50899994               1  0.791666687            2105
        2117   5.97999975E-14           1   1.18499994               1  0.540133774            2117
        2118   2.11999997E-14           1  0.967000008               1  0.646226406            2118
        2119   2.87000004E-14           1  0.481999993               1   1.02787447            2119
        2128   2.51999993E-14           1   1.42900002               1  0.531746030            2128
        2138   2.66999998E-14           1   1.55100000               1  0.617977560            2138
        2147   1.23000001E-14           1   2.02900004               1   1.47154474            2147
        2148   1.60000001E-14           1   1.51600003               1  0.388750017            2148
