#          name  xid     coordra    coorddec    fluxsoft     fluxmed    fluxhard flagcat       hr       chid	flagnew       id    idnew        r        i     knew     ch1new     ch2new     ch3new     ch4new       flux24	zspec  class flagredshift       zphot
#	#	#
XMMC_150.27612+2.52620   89 150.2762500   2.5263560    4.51e-15    1.04e-14   -2.94e-14     1    -0.38      139 	    1  2301004  1432832    22.71    22.29    21.71      15.24      19.31      23.12      23.10       0.12 	   1.434      1      5     1.45  
XMMC_150.28984+2.45505   90 150.2899000   2.4548580    4.90e-15    1.09e-14   -2.21e-14     1    -0.38      103 	    1  1923633  1198089    23.57    23.02    21.28      19.05      22.25      19.70      29.40     -99.00 	 -99.000    -99    -99     1.40  
XMMC_150.49563+2.41262   91 150.4956400   2.4125670    1.06e-14    1.36e-14    1.26e-14     1    -0.59      642 	    1  1893588  1181006    21.58    21.38    20.19      55.99      70.88      80.52      95.49       0.34 	   1.371      1      2     1.42  
XMMC_150.23385+2.58607   92 150.2338700   2.5860840    7.71e-15    1.33e-14   -2.80e-14     1    -0.50      131 	    1  2287516  1424221    23.66    22.85    20.97      19.60      19.11      19.30      22.25       0.07 	 -99.000    -99    -99     0.95  
XMMC_150.29243+2.54492   93 150.2924700   2.5451050    5.30e-15    7.39e-15   -2.56e-14     1    -0.57      140 	    1  2296808  1430492    21.46    21.45    21.20      14.27      16.37      23.96      47.83       0.11 	   2.647      1      5     2.65  
XMMC_150.19968+2.19089   94 150.1997500   2.1908660    7.54e-15    1.52e-14    9.58e-15     1    -0.43       40 	    1  1623780  1009041    21.34    21.01    20.25      47.67      66.20      79.60     111.67       0.37 	   1.510      1      5     1.54  
XMMC_150.02862+2.20978   95 150.0285600   2.2099230    7.53e-15    1.05e-14   -1.20e-14     1    -0.57      445 	    1  1658859  1031851    21.88    21.55    20.24      52.54      65.62      77.38     120.23       0.68 	   1.258      1      3     1.24  
XMMC_150.40181+2.88438   96 150.4020900   2.8843450    1.81e-14    1.72e-14   -5.44e-14     1    -0.69      -99 	    1  2971775  1844219    19.63    19.21    18.58      82.04      75.87      91.32     122.22       0.43 	   2.117      1      1     2.13  
XMMC_150.06616+1.87920   97 150.0661100   1.8793340    5.25e-15    1.85e-14   -8.26e-15     1    -0.17      250 	    1   900008   556869    24.06    23.21    21.21      25.98      35.25      47.52      63.96       0.24 	 -99.000    -99    -99     1.30  
XMMC_150.57237+2.49983   98 150.5726000   2.4999110    1.49e-14    2.45e-14    1.40e-14     1    -0.51      -99 	    1  2229185  1388865    20.72    20.62    20.00      66.48      92.22     131.01     178.60       0.43 	   1.106      1      2     1.03  
XMMC_150.06212+2.45483   99 150.0621400   2.4550250    1.02e-14    1.65e-14   -1.61e-14     1    -0.52      110 	    1  1961397  1221849    21.49    20.69    19.82      64.13      65.84      81.19      83.71       0.57 	   0.730      2      5     0.71  
XMMC_150.26268+2.67127  100 150.2625500   2.6708760    7.86e-15    1.85e-14    1.24e-14     1    -0.36      -99 	    1  2661787  1654653    20.46    19.37    18.79      69.23      59.02      49.33      56.81       0.25 	   0.270      2      5     0.35  
XMMC_150.13038+2.47207  101 150.1303300   2.4721570    3.88e-15    1.36e-14   -1.59e-14     1    -0.18       76 	    1  2352278  1464895    22.91    21.56    19.68      63.04      49.66      39.44      36.57       0.10 	   0.927      2      5     0.87  
XMMC_150.23188+2.51930  102 150.2320100   2.5193790    5.24e-15    8.10e-15   -1.81e-14     1    -0.53      129 	   10  2303942  1433735    21.37    20.36    19.30      87.68      71.22      73.56      58.17       0.38 	   0.513      2      5     0.52  
XMMC_150.11711+1.92961  103 150.1169500   1.9298840    4.28e-15    6.98e-15   -5.71e-15     1    -0.50      249 	    1   888442   549447    23.10    22.59    21.61      12.45      14.80      13.62      15.86     -99.00 	   1.519      1      3     1.54  
XMMC_150.24225+1.76644  104 150.2425200   1.7663940    2.45e-14    8.21e-14    4.56e-14     1    -0.20      281 	    1   484453   305000    21.94    20.56    19.08     106.63     117.57     159.34     193.89       0.73 	   0.623      2      5     0.57  
